Year,Month,States,Cents/kWh,CEPCI,2021 cents/kWh,2021_$/kWh,Year,CEPCI,source,,PA_2021_$/kWh
2025,7,NM,5.82,810.4,5.090345508,0.050903455,,,,,0.087477313
2025,7,NV,9.55,810.4,8.352714709,0.083527147,,,,,0.088707655
2025,7,NY,9.99,810.4,8.737551826,0.087375518,,,,,0.08710821
2025,7,OH,8.99,810.4,7.862922014,0.07862922,,,,,0.091291373
2025,7,OK,6.64,810.4,5.807541955,0.05807542,,,,,0.100641972
2025,7,OR,8.51,810.4,7.443099704,0.074430997,,,,,0.106424579
2025,7,PA,9.86,810.4,8.623849951,0.0862385,,,,,0.104332998
2025,7,RI,21.31,810.4,18.6383613,0.186383613,,,,,0.087334955
2025,7,SC,7.86,810.4,6.874590326,0.068745903,,,,,0.084711158
2025,7,SD,9.34,810.4,8.169042448,0.081690424,,,,,0.085335872
2025,7,TN,6.89,810.4,6.026199408,0.060261994,,,,,0.086335413
2025,7,TX,6.6,810.4,5.772556762,0.057725568,,,,,0.089458981
2025,7,UT,9.41,810.4,8.230266535,0.082302665,,,,,0.089833809
2025,7,VA,9.49,810.4,8.30023692,0.083002369,,,,,0.085585757
2025,7,VT,12.22,810.4,10.68797631,0.106879763,,,,,0.086210471
2025,7,WA,6.99,810.4,6.113662389,0.061136624,,,,,0.087334955
2025,7,WI,9.87,810.4,8.632596249,0.086325962,,,,,0.086835184
2025,7,WV,7.98,810.4,6.979545903,0.069795459,,,,,0.087210012
2025,7,WY,8.93,810.4,7.810444225,0.078104442,,,,,0.088084611
2025,6,AK,20.27,810.4,17.7287463,0.177287463,,,,,0.087175368
2025,6,AL,8.15,810.4,7.128232971,0.07128233,,,,,0.088266575
2025,6,AR,6.83,810.4,5.973721619,0.059737216,,,,,0.086932877
2025,6,AZ,8.43,810.4,7.373129319,0.073731293,,,,,0.086205405
2025,6,CA,22.14,810.4,19.36430405,0.19364304,,,,,0.088994047
2025,6,CO,9.78,810.4,8.553879566,0.085538796,,,,,0.088266575
2025,6,CT,19.19,810.4,16.7841461,0.167841461,,,,,0.08790284
2025,6,DC,15.18,810.4,13.27688055,0.132768806,,,,,0.086690387
2025,6,DE,8.82,810.4,7.714234946,0.077142349,,,,,0.087417858
2025,6,FL,8.85,810.4,7.74047384,0.077404738,,,,,0.088024085
2025,6,GA,9.22,810.4,8.064086871,0.080640869,,,,,0.086932877
2025,6,HI,30.47,810.4,26.64997038,0.266499704,,,,,0.088630311
2025,6,IA,8.32,810.4,7.276920039,0.0727692,,,,,0.087616732
2025,6,ID,9.94,810.4,8.693820336,0.086938203,,,,,0.088342838
2025,6,IL,9.66,810.4,8.448923988,0.08448924,,,,,0.090400137
